timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
0.000000000,0,0,-356.922,287.134,-0.356565,0.286848,0.000932431,5.38298e+07,6.93894e-13
1702580548.627720505,0,0,12.7,-8.91484,-0.330517,0.26849,0.7248,0.0838,0.6096
1702580548.641694549,0,0,12.7,-8.91484,-0.330517,0.26849,0.7248,0.0838,0.6096
1702580548.655729842,0,0,12.7,-8.91484,-0.330517,0.26849,0.7248,0.0838,0.6096
1702580548.668681010,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7248,0.0838,0.6096
1702580548.683433803,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.696564929,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.710569014,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.724926307,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.738707558,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.752561435,0,0,8.38333,-2.86536,-0.304497,0.259132,0.7247,0.0839,0.6096
1702580548.765753811,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0839,0.6096
1702580548.779670979,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0839,0.6096
1702580548.793543814,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0838,0.6095
1702580548.806693607,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0838,0.6095
1702580548.820683108,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0838,0.6095
1702580548.834601443,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0838,0.6095
1702580548.847680069,0,0,9.40312,0.133594,-0.265956,0.258634,0.7247,0.0838,0.6095
1702580548.861575946,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.875471822,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.889430990,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.902812366,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.916677618,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.930616661,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.943662912,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.957739914,0,0,10.5,-1.9,-0.212711,0.247958,0.7247,0.0838,0.6095
1702580548.971559082,0,0,5.26562,0.824219,-0.180331,0.251364,0.7247,0.0838,0.6095
1702580548.984665416,0,0,5.26562,0.824219,-0.180331,0.251364,0.7247,0.0838,0.6095
1702580548.998669793,0,0,5.26562,0.824219,-0.180331,0.251364,0.7248,0.0837,0.6094
1702580549.012609419,0,0,5.26562,0.824219,-0.180331,0.251364,0.7248,0.0837,0.6094
1702580549.025614837,0,0,5.26562,0.824219,-0.180331,0.251364,0.7248,0.0837,0.6094
1702580549.039557964,0,0,5.26562,0.824219,-0.180331,0.251364,0.7248,0.0837,0.6094
1702580549.053424673,0,0,5.26562,0.824219,-0.180331,0.251364,0.7248,0.0837,0.6094
1702580549.067434883,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7248,0.0837,0.6094
1702580549.080555218,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7248,0.0837,0.6094
1702580549.094552594,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7247,0.0836,0.6094
1702580549.107549554,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7247,0.0836,0.6094
1702580549.121611097,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7247,0.0836,0.6094
1702580549.135554515,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7247,0.0836,0.6094
1702580549.148680683,0,0,17.7969,-6.55547,-0.0569517,0.204648,0.7247,0.0836,0.6094
1702580549.162675726,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6094
1702580549.176555561,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6094
1702580549.189549312,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6094
1702580549.203554563,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6095
1702580549.217612023,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6095
1702580549.230541899,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6095
1702580549.244543942,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6095
1702580549.258537527,0,0,7.34271,-1.99193,0.000778621,0.187511,0.7247,0.0836,0.6095
1702580549.271665737,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7247,0.0836,0.6095
1702580549.285673613,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7247,0.0836,0.6095
1702580549.299597490,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7248,0.0835,0.6092
1702580549.312792783,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7248,0.0835,0.6092
1702580549.326683117,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7248,0.0835,0.6092
1702580549.340514535,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7248,0.0835,0.6092
1702580549.353556995,0,0,10.5208,-3.32083,0.0925656,0.156901,0.7248,0.0835,0.6092
1702580549.367565163,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0835,0.6092
1702580549.381433915,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0835,0.6092
1702580549.395900583,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0836,0.6093
1702580549.409566917,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0836,0.6093
1702580549.423541835,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0836,0.6093
1702580549.437439462,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0836,0.6093
1702580549.450556005,0,0,9.49687,-3.24297,0.183141,0.124156,0.7248,0.0836,0.6093
1702580549.464560090,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6093
1702580549.477609258,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6093
1702580549.491554426,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6093
1702580549.505551219,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6092
1702580549.519556470,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6092
1702580549.532617596,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6092
1702580549.546755264,0,0,15.7031,-5.23438,0.346403,0.0677867,0.7248,0.0836,0.6092
1702580549.560554016,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7248,0.0836,0.6092
1702580549.574554892,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7248,0.0836,0.6092
1702580549.588565394,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7248,0.0836,0.6092
1702580549.601552728,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7247,0.0836,0.6091
1702580549.615551563,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7247,0.0836,0.6091
1702580549.629604064,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7247,0.0836,0.6091
1702580549.643306858,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7247,0.0836,0.6091
1702580549.656556984,0,0,8.41667,-1.37917,0.438309,0.0513084,0.7247,0.0836,0.6091
1702580549.670617360,0,0,10.4792,-1.10026,0.561176,0.037217,0.7247,0.0836,0.6091
1702580549.684554653,0,0,10.4792,-1.10026,0.561176,0.037217,0.7247,0.0836,0.6091
1702580549.697566488,0,0,10.4792,-1.10026,0.561176,0.037217,0.7247,0.0836,0.6091
1702580549.711488323,0,0,10.4792,-1.10026,0.561176,0.037217,0.7248,0.0836,0.6096
1702580549.725442532,0,0,10.4792,-1.10026,0.561176,0.037217,0.7248,0.0836,0.6096
1702580549.738554700,0,0,10.4792,-1.10026,0.561176,0.037217,0.7248,0.0836,0.6096
1702580549.752947285,0,0,10.4792,-1.10026,0.561176,0.037217,0.7248,0.0836,0.6096
1702580549.766623828,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6096
1702580549.781426496,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6096
1702580549.794617998,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6096
1702580549.808558499,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6092
1702580549.822430751,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6092
1702580549.835578502,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6092
1702580549.849559837,0,0,8.38333,-0.402865,0.663363,0.0314679,0.7248,0.0836,0.6092
1702580549.863290921,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7248,0.0836,0.6092
1702580549.876599673,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7248,0.0836,0.6092
1702580549.890542216,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7248,0.0836,0.6092
1702580549.904539300,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7248,0.0836,0.6092
1702580549.919738927,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7246,0.0836,0.6095
1702580549.933676512,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7246,0.0836,0.6095
1702580549.947612055,0,0,12.575,-4.8875,0.828562,-0.0367518,0.7246,0.0836,0.6095
1702580549.960655098,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0836,0.6095
1702580549.974515682,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0836,0.6095
1702580549.988479226,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0836,0.6095
1702580550.001648852,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0836,0.6095
1702580550.015546478,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0838,0.6095
1702580550.029476188,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0838,0.6095
1702580550.042604398,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0838,0.6095
1702580550.056543441,0,0,8.45,-5.45,0.940222,-0.116061,0.7246,0.0838,0.6095
1702580550.070307192,0,0,10.5,-3.75391,1.08754,-0.172119,0.7246,0.0838,0.6095
1702580550.083554110,0,0,10.5,-3.75391,1.08754,-0.172119,0.7246,0.0838,0.6095
1702580550.097603987,0,0,10.5,-3.75391,1.08754,-0.172119,0.7246,0.0838,0.6095
1702580550.111428113,0,0,10.5,-3.75391,1.08754,-0.172119,0.7246,0.0838,0.6095
1702580550.124628073,0,0,10.5,-3.75391,1.08754,-0.172119,0.7247,0.0838,0.6095
1702580550.138586366,0,0,10.5,-3.75391,1.08754,-0.172119,0.7247,0.0838,0.6095
