timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
1702591812.607598569,0,0,9.55313,-1.90937,0.438177,0.120845,0.5855,0.1083,0.6545
1702591812.620834987,0,0,9.55313,-1.90937,0.438177,0.120845,0.5855,0.1083,0.6545
1702591812.634760905,0,0,9.55313,-1.90937,0.438177,0.120845,0.5855,0.1083,0.6545
1702591812.648783073,0,0,9.55313,-1.90937,0.438177,0.120845,0.5855,0.1083,0.6545
1702591812.662669033,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1083,0.6545
1702591812.676715993,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1083,0.6545
1702591812.690589994,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1085,0.6545
1702591812.704788329,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1085,0.6545
1702591812.718582705,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1085,0.6545
1702591812.731691373,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1085,0.6545
1702591812.745826708,0,0,15.7969,-3.92422,0.586102,0.0818859,0.5855,0.1085,0.6545
1702591812.759709168,0,0,13.6635,0.727865,0.723669,0.0886813,0.5855,0.1085,0.6545
1702591812.772820169,0,0,13.6635,0.727865,0.723669,0.0886813,0.5855,0.1085,0.6545
1702591812.786869462,0,0,13.6635,0.727865,0.723669,0.0886813,0.5853,0.1084,0.6546
1702591812.801570338,0,0,13.6635,0.727865,0.723669,0.0886813,0.5854,0.1083,0.6545
1702591812.814914090,0,0,13.6635,0.727865,0.723669,0.0886813,0.5854,0.1083,0.6545
1702591812.829601550,0,0,13.6635,0.727865,0.723669,0.0886813,0.5854,0.1083,0.6545
1702591812.843531843,0,0,13.6635,0.727865,0.723669,0.0886813,0.5854,0.1083,0.6545
1702591812.856595302,0,0,8.4,3.16953,0.811089,0.123767,0.5854,0.1083,0.6545
1702591812.870623887,0,0,8.4,3.16953,0.811089,0.123767,0.5854,0.1083,0.6545
1702591812.883768430,0,0,8.4,3.16953,0.811089,0.123767,0.5854,0.1083,0.6545
1702591812.897737806,0,0,8.4,3.16953,0.811089,0.123767,0.5855,0.1085,0.6546
1702591812.911592266,0,0,8.4,3.16953,0.811089,0.123767,0.5855,0.1085,0.6546
1702591812.925590809,0,0,8.4,3.16953,0.811089,0.123767,0.5855,0.1085,0.6546
1702591812.938737685,0,0,8.4,3.16953,0.811089,0.123767,0.5855,0.1085,0.6546
1702591812.952733312,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1085,0.6546
1702591812.966697147,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1085,0.6546
1702591812.980443981,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1085,0.6546
1702591812.994634441,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1081,0.6543
1702591813.008439026,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1081,0.6543
1702591813.021692069,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1081,0.6543
1702591813.035827987,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1081,0.6543
1702591813.049566072,0,0,9.44063,4.80547,0.916686,0.181055,0.5855,0.1081,0.6543
1702591813.063568990,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1081,0.6543
1702591813.076586366,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1081,0.6543
1702591813.090692534,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1081,0.6543
1702591813.104726952,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1084,0.6545
1702591813.118972829,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1084,0.6545
1702591813.132613205,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1084,0.6545
1702591813.146768081,0,0,16.8,-0.855469,1.12418,0.167514,0.5855,0.1084,0.6545
1702591813.161574250,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1084,0.6545
1702591813.174761668,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1084,0.6545
1702591813.188907794,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1084,0.6545
1702591813.202804545,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1083,0.6545
1702591813.216694880,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1083,0.6545
1702591813.231447090,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1083,0.6545
1702591813.245573091,0,0,12.675,0.00859375,1.28438,0.16531,0.5855,0.1083,0.6545
1702591813.260783218,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.274699511,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.288455387,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.302469680,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.316713223,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.330815017,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
1702591813.344648476,0,0,20.049,-4.24661,1.55929,0.100672,0.5855,0.1083,0.6545
