imuDataRxTime,odomDataRxTime,uwbDataRxTime,aX,aY,aZ,wX,wY,wZ,qX,qY,qZ,qW,vXY,angleV,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ,d1,d2,d3
1702752954.773011566,0.000000000,1702752954.756839523,0.380678,-0.268151,9.69173,-0.0617853,-0.00745685,0.0298274,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0146,0.0202,-0.1902,474,466,470
1702752954.786112068,0.000000000,1702752954.756839523,0.390255,-0.299275,9.71328,-0.0607201,-0.00639159,0.0308927,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0143,0.0202,-0.1901,474,466,470
1702752954.802963403,0.000000000,1702752954.756839523,0.438139,-0.287304,9.69652,-0.0607201,-0.00639159,0.0308927,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0143,0.0202,-0.1901,474,466,470
1702752954.816110571,0.000000000,1702752954.756839523,0.385466,-0.28491,9.68455,-0.0628506,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0143,0.0202,-0.1901,474,466,470
1702752954.830090155,0.000000000,1702752954.756839523,0.423774,-0.280122,9.67736,-0.0628506,-0.00532632,0.0298274,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0144,0.0203,-0.1899,474,466,470
1702752954.844104448,0.000000000,1702752954.756839523,0.402226,-0.248997,9.67257,-0.0607201,-0.00639159,0.0308927,0,0,0,0,0,0,0,0,-1.16667,-4.90833,-0.000820909,-0.00028694,0.0144,0.0203,-0.1899,474,466,470
1702752954.857230033,0.000000000,1702752954.856844158,0.385466,-0.241814,9.71567,-0.0617853,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0143,0.0202,-0.1899,467,469,466
1702752954.871092076,0.000000000,1702752954.856844158,0.387861,-0.280122,9.6606,-0.0617853,-0.00532632,0.0308927,0,0,0,0,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0143,0.0202,-0.1899,467,469,466
1702752954.885113078,1702752954.863233409,1702752954.856844158,0.37589,-0.272939,9.72046,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0145,0.0201,-0.1902,467,469,466
1702752954.898856996,1702752954.863233409,1702752954.856844158,0.387861,-0.265756,9.69412,-0.0617853,-0.00426106,0.0298274,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0145,0.0201,-0.1902,467,469,466
1702752954.912046164,1702752954.863233409,1702752954.856844158,0.397437,-0.275333,9.69652,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0145,0.0201,-0.1902,467,469,466
1702752954.925984623,1702752954.917556623,1702752954.856844158,0.399832,-0.299275,9.68694,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0146,0.0202,-0.1902,467,469,466
1702752954.939215791,1702752954.917556623,1702752954.856844158,0.407014,-0.294487,9.72285,-0.0607201,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0146,0.0202,-0.1902,467,469,466
1702752954.953310876,1702752954.917556623,1702752954.856844158,0.414197,-0.282516,9.69652,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-10.95,-0.241406,-0.00147776,-0.000301405,0.0145,0.02,-0.19,467,469,466
1702752954.966987419,1702752954.959146543,1702752954.956836543,0.392649,-0.258574,9.69412,-0.0617853,-0.00745685,0.0308927,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0145,0.02,-0.19,469,471,469
1702752954.981044879,1702752954.972536378,1702752954.956836543,0.423774,-0.282516,9.71567,-0.0607201,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0143,0.0199,-0.1899,469,471,469
1702752954.994109505,1702752954.986508088,1702752954.956836543,0.411803,-0.251391,9.7037,-0.0607201,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0143,0.0199,-0.1899,469,471,469
1702752955.008103965,1702752954.986508088,1702752954.956836543,0.395043,-0.265756,9.67257,-0.0607201,-0.00426106,0.0298274,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0143,0.0199,-0.1899,469,471,469
1702752955.022090841,1702752954.986508088,1702752954.956836543,0.447716,-0.287304,9.68215,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0144,0.0201,-0.1899,469,471,469
1702752955.037171468,1702752955.013428924,1702752954.956836543,0.414197,-0.28491,9.71567,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0144,0.0201,-0.1899,469,471,469
1702752955.051116344,1702752955.013428924,1702752954.956836543,0.411803,-0.268151,9.69412,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-10.9583,0.489583,-0.00224459,-0.00026712,0.0145,0.0203,-0.1899,469,471,469
1702752955.065093304,1702752955.013428924,1702752955.056814345,0.392649,-0.287304,9.71806,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0145,0.0203,-0.1899,470,469,469
1702752955.078096972,1702752955.070371305,1702752955.056814345,0.40462,-0.272939,9.71806,-0.0607201,-0.00532632,0.0319579,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0201,-0.1898,470,469,469
1702752955.092119432,1702752955.070371305,1702752955.056814345,0.385466,-0.277727,9.67257,-0.0628506,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0201,-0.1898,470,469,469
1702752955.106110683,1702752955.070371305,1702752955.056814345,0.387861,-0.260968,9.71567,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0203,-0.19,470,469,469
1702752955.119305684,1702752955.111373517,1702752955.056814345,0.402226,-0.275333,9.68455,-0.0607201,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0203,-0.19,470,469,469
1702752955.133301603,1702752955.125366518,1702752955.056814345,0.428562,-0.265756,9.70849,-0.0628506,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0203,-0.19,470,469,469
1702752955.147052521,1702752955.125366518,1702752955.056814345,0.392649,-0.263362,9.71328,-0.0596548,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-8.02188,-0.978125,-0.00288599,-0.000345329,0.0144,0.0202,-0.1901,470,469,469
1702752955.160859147,1702752955.125366518,1702752955.156823063,0.390255,-0.265756,9.71567,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0144,0.0202,-0.1901,471,469,466
1702752955.174005440,1702752955.139253936,1702752955.156823063,0.392649,-0.296881,9.66779,-0.0607201,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0145,0.0202,-0.1901,471,469,466
1702752955.188059400,1702752955.139253936,1702752955.156823063,0.397437,-0.296881,9.68455,-0.0607201,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0145,0.0202,-0.1901,471,469,466
1702752955.201101276,1702752955.139253936,1702752955.156823063,0.409408,-0.270545,9.67736,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0145,0.0202,-0.19,471,469,466
1702752955.215116152,1702752955.179507732,1702752955.156823063,0.395043,-0.244209,9.7037,-0.0617853,-0.00639159,0.0287621,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0145,0.0202,-0.19,471,469,466
1702752955.228115445,1702752955.179507732,1702752955.156823063,0.383072,-0.272939,9.73722,-0.0617853,-0.00426106,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0145,0.0202,-0.19,471,469,466
1702752955.242099405,1702752955.179507732,1702752955.156823063,0.392649,-0.270545,9.68455,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0144,0.0201,-0.19,471,469,466
1702752955.255857615,1702752955.220272236,1702752955.156823063,0.390255,-0.251391,9.69173,-0.0628506,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04167,-4.14974,-0.00351928,-0.000718656,0.0144,0.0201,-0.19,471,469,466
1702752955.269038908,1702752955.220272236,1702752955.256844032,0.402226,-0.280122,9.67018,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0144,0.0201,-0.1899,474,467,471
1702752955.282845534,1702752955.220272236,1702752955.256844032,0.414197,-0.277727,9.69652,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0144,0.0201,-0.1899,474,467,471
1702752955.296051911,1702752955.220272236,1702752955.256844032,0.397437,-0.289698,9.72525,-0.0617853,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0142,0.0202,-0.1899,474,467,471
1702752955.310032079,1702752955.261237407,1702752955.256844032,0.392649,-0.270545,9.70131,-0.0607201,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0142,0.0202,-0.1899,474,467,471
1702752955.323220080,1702752955.261237407,1702752955.256844032,0.407014,-0.277727,9.69173,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0142,0.0202,-0.1899,474,467,471
1702752955.336971873,1702752955.261237407,1702752955.256844032,0.383072,-0.263362,9.72046,-0.0617853,-0.00319579,0.0298274,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0144,0.0203,-0.19,474,467,471
1702752955.350094541,1702752955.315236579,1702752955.256844032,0.402226,-0.275333,9.72525,-0.0628506,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-2.13854,-3.93021,-0.0037327,-0.00111145,0.0144,0.0203,-0.19,474,467,471
1702752955.364126917,1702752955.315236579,1702752955.356836125,0.40462,-0.275333,9.71088,-0.0639159,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0145,0.0203,-0.1899,474,470,469
1702752955.377114835,1702752955.315236579,1702752955.356836125,0.399832,-0.275333,9.69412,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0145,0.0203,-0.1899,474,470,469
1702752955.391119503,1702752955.315236579,1702752955.356836125,0.390255,-0.289698,9.71088,-0.0617853,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0144,0.0202,-0.1901,474,470,469
1702752955.405167630,1702752955.383252669,1702752955.356836125,0.426168,-0.253785,9.7037,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0144,0.0202,-0.1901,474,470,469
1702752955.418236631,1702752955.383252669,1702752955.356836125,0.399832,-0.263362,9.68933,-0.0607201,-0.00745685,0.0308927,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0144,0.0202,-0.1901,474,470,469
1702752955.431989591,1702752955.383252669,1702752955.356836125,0.418985,-0.268151,9.69891,-0.0596548,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0144,0.02,-0.1902,474,470,469
